"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","7","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"2","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","7","Header comments are required","Documentation","CommentRequired"
"3","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","8","Avoid unused private methods such as 'getStream()'.","Best Practices","UnusedPrivateMethod"
"4","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","9","Local variable 'classloader' could be declared final","Code Style","LocalVariableCouldBeFinal"
"5","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","14","Parameter 'args' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"6","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","14","Public method and constructor comments are required","Documentation","CommentRequired"
"7","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","19","Parameter 'stream' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"8","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","20","Local variable 'scanner' could be declared final","Code Style","LocalVariableCouldBeFinal"
"9","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","25","Parameter 'scanner' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"10","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","28","Avoid assignments in operands","Error Prone","AssignmentInOperand"
"11","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","4","33","Consider using varargs for methods or constructors which take an array the last parameter.","Best Practices","UseVarargs"
"12","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","33","Parameter 'data' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"13","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","4","37","Useless parentheses.","Code Style","UselessParentheses"
"14","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","4","37","Useless parentheses.","Code Style","UselessParentheses"
"15","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","43","Parameter 'a' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"16","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","43","Parameter 'b' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"17","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","43","Parameter 'node' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"18","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","43","To avoid mistakes add a comment at the beginning of the build method if you want a default access modifier","Code Style","CommentDefaultAccessModifier"
"19","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","43","Use explicit scoping instead of the default package private level","Code Style","DefaultPackage"
"20","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","46","Avoid using if...else statements without curly braces","Code Style","IfElseStmtsMustUseBraces"
"21","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","49","Local variable 'mid' could be declared final","Code Style","LocalVariableCouldBeFinal"
"22","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","56","Parameter 'scanner' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"23","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","66","Parameter 'a' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"24","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","66","Parameter 'b' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"25","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","66","Parameter 'node' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"26","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","66","Parameter 'pos' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"27","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","71","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"28","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","75","Local variable 'mid' could be declared final","Code Style","LocalVariableCouldBeFinal"
"29","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","78","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"30","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","78","Avoid using if...else statements without curly braces","Code Style","IfElseStmtsMustUseBraces"
"31","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","80","Avoid using if...else statements without curly braces","Code Style","IfElseStmtsMustUseBraces"
"32","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","84","Field comments are required","Documentation","CommentRequired"
"33","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","84","Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.","Code Style","FieldDeclarationsShouldBeAtStartOfClass"
"34","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","84","Private field 'v' could be made final; it is only initialized in the declaration or constructor.","Design","ImmutableField"
"35","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","4","86","Consider using varargs for methods or constructors which take an array the last parameter.","Best Practices","UseVarargs"
"36","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","3","86","Parameter 'soldiersShifts' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"37","","/Users/martinhoaragao/Dev/ProgrammerProfiler/ExerciseExamples/CodeChef-Hard-Orders/Guy2/15593929.java","5","90","Found 'DD'-anomaly for variable 'ans' (lines '90'-'94').","Error Prone","DataflowAnomalyAnalysis"
